subjectID	 order	 itemIndABC	 runtrial	 isOld?	 subjectAnswer	 onsettime	 Name	 resp_choice	 RT	 bidInd	 isBeep?
BMI_bf_101	1	2	1	1	1	1.51E-02	 1019.jpg	 u	1.72E+00	13	1
BMI_bf_101	1	43	2	0	0	2.78E+00	 6008.jpg	 i	8.36E-01	0	0
BMI_bf_101	1	51	3	0	0	4.67E+00	 6190.jpg	 i	8.29E-01	0	0
BMI_bf_101	1	55	4	0	0	6.56E+00	 6221.jpg	 i	8.34E-01	0	0
BMI_bf_101	1	26	5	1	1	8.44E+00	 2181.jpg	 u	7.71E-01	50	1
BMI_bf_101	1	35	6	0	0	1.03E+01	 5129.jpg	 i	6.62E-01	0	0
BMI_bf_101	1	17	7	1	1	1.20E+01	 2053.jpg	 u	7.78E-01	9	0
BMI_bf_101	1	7	8	1	1	1.38E+01	 1145.jpg	 u	8.71E-01	48	0
BMI_bf_101	1	25	9	1	1	1.57E+01	 2155.jpg	 u	7.86E-01	46	0
BMI_bf_101	1	23	10	1	1	1.76E+01	 2149.jpg	 u	6.27E-01	12	1
BMI_bf_101	1	20	11	1	1	1.92E+01	 2110.jpg	 u	6.19E-01	15	1
BMI_bf_101	1	9	12	1	1	2.09E+01	 1210.jpg	 u	5.81E-01	53	1
BMI_bf_101	1	14	13	1	1	2.25E+01	 2039.jpg	 u	5.55E-01	44	1
BMI_bf_101	1	39	14	0	0	2.41E+01	 5207.jpg	 i	6.18E-01	0	0
BMI_bf_101	1	6	15	1	1	2.58E+01	 1127.jpg	 u	7.95E-01	14	0
BMI_bf_101	1	37	16	0	0	2.77E+01	 5152.jpg	 i	6.53E-01	0	0
BMI_bf_101	1	16	17	1	1	2.94E+01	 2045.jpg	 u	6.83E-01	16	0
BMI_bf_101	1	42	18	0	0	3.11E+01	 5254.jpg	 i	7.37E-01	0	0
BMI_bf_101	1	40	19	0	0	3.29E+01	 5220.jpg	 i	8.30E-01	0	0
BMI_bf_101	1	47	20	0	0	3.48E+01	 6054.jpg	 i	5.99E-01	0	0
BMI_bf_101	1	29	21	0	0	3.64E+01	 5009.jpg	 i	7.02E-01	0	0
BMI_bf_101	1	24	22	1	1	3.82E+01	 2153.jpg	 u	6.72E-01	10	1
BMI_bf_101	1	21	23	1	1	3.99E+01	 2112.jpg	 u	7.08E-01	49	0
BMI_bf_101	1	13	24	1	1	4.16E+01	 2024.jpg	 u	7.90E-01	55	0
BMI_bf_101	1	49	25	0	0	4.35E+01	 6124.jpg	 i	7.32E-01	0	0
BMI_bf_101	1	8	26	1	1	4.53E+01	 1173.jpg	 u	7.47E-01	51	0
BMI_bf_101	1	36	27	0	1	4.71E+01	 5144.jpg	 u	1.15E+00	0	0
BMI_bf_101	1	53	28	0	0	4.93E+01	 6213.jpg	 i	6.24E-01	0	0
BMI_bf_101	1	56	29	0	0	5.09E+01	 6249.jpg	 i	9.24E-01	0	0
BMI_bf_101	1	41	30	0	0	5.29E+01	 5228.jpg	 i	6.20E-01	0	0
BMI_bf_101	1	18	31	1	1	5.46E+01	 2058.jpg	 u	7.63E-01	11	0
BMI_bf_101	1	52	32	0	0	5.64E+01	 6201.jpg	 i	6.88E-01	0	0
BMI_bf_101	1	12	33	1	1	5.81E+01	 2015.jpg	 u	6.40E-01	43	0
BMI_bf_101	1	5	34	1	1	5.98E+01	 1114.jpg	 u	5.64E-01	18	1
BMI_bf_101	1	54	35	0	0	6.14E+01	 6217.jpg	 i	6.67E-01	0	0
BMI_bf_101	1	22	36	1	1	6.32E+01	 2118.jpg	 u	6.14E-01	8	0
BMI_bf_101	1	48	37	0	0	6.48E+01	 6111.jpg	 i	9.36E-01	0	0
BMI_bf_101	1	34	38	0	0	6.68E+01	 5115.jpg	 i	6.83E-01	0	0
BMI_bf_101	1	1	39	1	1	6.85E+01	 1007.jpg	 u	6.13E-01	45	1
BMI_bf_101	1	4	40	1	1	7.02E+01	 1080.jpg	 u	5.98E-01	47	1
BMI_bf_101	1	15	41	1	1	7.19E+01	 2041.jpg	 u	6.57E-01	5	0
BMI_bf_101	1	45	42	0	0	7.36E+01	 6036.jpg	 i	8.56E-01	0	0
BMI_bf_101	1	33	43	0	0	7.55E+01	 5081.jpg	 i	8.33E-01	0	0
BMI_bf_101	1	28	44	1	1	7.74E+01	 2248.jpg	 u	6.69E-01	52	1
BMI_bf_101	1	27	45	1	1	7.91E+01	 2229.jpg	 u	9.64E-01	54	0
BMI_bf_101	1	11	46	1	1	8.11E+01	 2006.jpg	 u	6.89E-01	7	1
BMI_bf_101	1	19	47	1	0	8.28E+01	 2089.jpg	 i	6.19E-01	6	0
BMI_bf_101	1	38	48	0	0	8.45E+01	 5182.jpg	 i	9.53E-01	0	0
BMI_bf_101	1	44	49	0	0	8.65E+01	 6016.jpg	 i	7.62E-01	0	0
BMI_bf_101	1	3	50	1	1	8.83E+01	 1027.jpg	 u	7.21E-01	17	0
BMI_bf_101	1	46	51	0	0	9.01E+01	 6042.jpg	 i	8.65E-01	0	0
BMI_bf_101	1	31	52	0	0	9.20E+01	 5049.jpg	 i	6.45E-01	0	0
BMI_bf_101	1	30	53	0	0	9.37E+01	 5028.jpg	 i	7.99E-01	0	0
BMI_bf_101	1	10	54	1	1	9.56E+01	 1262.jpg	 u	7.13E-01	56	0
BMI_bf_101	1	50	55	0	0	9.73E+01	 6154.jpg	 i	7.22E-01	0	0
BMI_bf_101	1	32	56	0	0	9.91E+01	 5057.jpg	 i	6.19E-01	0	0
